Date,Close
1/2/2018,112.88
1/3/2018,113.88
1/4/2018,114.02
1/5/2018,116.91
1/8/2018,117.37
1/9/2018,114.91
1/10/2018,115.55
1/11/2018,116.98
1/12/2018,117.3
1/16/2018,113.96
1/17/2018,116.09
1/18/2018,117.27
1/19/2018,118.05
1/22/2018,118.4
1/23/2018,116.81
1/24/2018,116.24
1/25/2018,117.2
1/26/2018,119.37
1/29/2018,119.29
1/30/2018,118.31
1/31/2018,126.67
2/1/2018,124.64
2/2/2018,121.67
2/5/2018,117.33
2/6/2018,118.27
2/7/2018,117.19
2/8/2018,103.51
2/9/2018,108.45
2/12/2018,109.93
2/13/2018,107.78
2/14/2018,106.56
2/15/2018,108.16
2/16/2018,107.04
2/20/2018,107.48
2/21/2018,108.54
2/22/2018,108.63
2/23/2018,111.65
2/26/2018,114.58
2/27/2018,112.23
2/28/2018,111.87
3/1/2018,107.54
3/2/2018,110.77
3/5/2018,111.93
3/6/2018,110.71
3/7/2018,110.94
3/8/2018,113.58
3/9/2018,116.61
3/12/2018,115.74
3/13/2018,113.49
3/14/2018,109.23
3/15/2018,108.9
3/16/2018,107.29
3/19/2018,104.5
3/20/2018,105.24
3/21/2018,104.73
3/22/2018,102.39
3/23/2018,99.7
3/26/2018,103.1
3/27/2018,98.04
3/28/2018,97.46
3/29/2018,97.78
4/2/2018,95.92
4/3/2018,95.86
4/4/2018,96.96
4/5/2018,98.63
4/6/2018,94.63
4/9/2018,96.51
4/10/2018,97.64
4/11/2018,96.62
4/12/2018,97.84
4/13/2018,97.19
4/16/2018,98.47
4/17/2018,102.21
4/18/2018,102.5
4/19/2018,100.77
4/20/2018,98.38
4/23/2018,98.12
4/24/2018,96.38
4/25/2018,96.22
4/26/2018,99.19
4/27/2018,98.63
4/30/2018,99.71
5/1/2018,104.3
5/2/2018,104.88
5/3/2018,105.1
5/4/2018,108.76
5/7/2018,110.2
5/8/2018,111.3
5/9/2018,115.99
5/10/2018,117.06
5/11/2018,116.09
5/14/2018,114.4
5/15/2018,113.47
5/16/2018,113.07
5/17/2018,113.88
5/18/2018,113.88
5/21/2018,115.96
5/22/2018,113.24
5/23/2018,112.6
5/24/2018,112.07
5/25/2018,112.02
5/29/2018,110.78
5/30/2018,110.63
5/31/2018,112.08
6/1/2018,114.59
6/4/2018,113.68
6/5/2018,113.26
6/6/2018,112.59
6/7/2018,113.42
6/8/2018,113.42
6/11/2018,113.32
6/12/2018,114.7
6/13/2018,118.46
6/14/2018,121.84
6/15/2018,121.51
6/18/2018,120.69
6/19/2018,117.83
6/20/2018,118.01
6/21/2018,116.5
6/22/2018,116.96
6/25/2018,116.73
6/26/2018,115.91
6/27/2018,113.96
6/28/2018,118.06
6/29/2018,118.36
7/2/2018,119.87
7/3/2018,118.15
7/5/2018,120.82
7/6/2018,123.44
7/9/2018,121.97
7/10/2018,121.15
7/11/2018,122.74
7/12/2018,126.24
7/13/2018,126.35
7/16/2018,125.89
7/17/2018,126.68
7/18/2018,126.81
7/19/2018,127.41
7/20/2018,126.61
7/23/2018,126.8
7/24/2018,125.16
7/25/2018,127.84
7/26/2018,125.33
7/27/2018,122.58
7/30/2018,113.11
7/31/2018,113.02
8/1/2018,112.24
8/2/2018,113.24
8/3/2018,123.41
8/6/2018,121.32
8/7/2018,122.21
8/8/2018,124.95
8/9/2018,125.2
8/10/2018,128.8
8/13/2018,128.1
8/14/2018,129.09
8/15/2018,125.95
8/16/2018,125.94
8/17/2018,124.3
8/20/2018,124.88
8/21/2018,126.42
8/22/2018,129.23
8/23/2018,130.68
8/24/2018,134.01
8/27/2018,133.37
8/28/2018,133.66
8/29/2018,136.09
8/30/2018,134.64
8/31/2018,133.56
9/4/2018,134.53
9/5/2018,128.9
9/6/2018,130.35
9/7/2018,130.54
9/10/2018,129.16
9/11/2018,133.92
9/12/2018,133.48
9/13/2018,136.26
9/14/2018,134.11
9/17/2018,131.48
9/18/2018,132.72
9/19/2018,130.57
9/20/2018,130.95
9/21/2018,132.07
9/24/2018,134.88
9/25/2018,135.55
9/26/2018,134.53
9/27/2018,137.07
9/28/2018,137.99
10/1/2018,137.41
10/2/2018,134.38
10/3/2018,136.11
10/4/2018,131.88
10/5/2018,130.6
10/8/2018,126.82
10/9/2018,127.95
10/10/2018,122.25
10/11/2018,122.26
10/12/2018,129.05
10/15/2018,127.78
10/16/2018,132.02
10/17/2018,132.06
10/18/2018,126.87
10/19/2018,122.45
10/22/2018,120.51
10/23/2018,118.78
10/24/2018,110.97
10/25/2018,120.7
10/26/2018,120.06
10/29/2018,111.72
10/30/2018,124.01
10/31/2018,128.87
11/1/2018,128.91
11/2/2018,128.37
11/5/2018,126.7
11/6/2018,123.68
11/7/2018,125.81
11/8/2018,119.14
11/9/2018,113.05
11/12/2018,109.03
11/13/2018,107
11/14/2018,106.57
11/15/2018,113.06
11/16/2018,113.93
11/19/2018,106
11/20/2018,104.72
11/21/2018,106.84
11/23/2018,105.5
11/26/2018,110.44
11/27/2018,109.56
11/28/2018,110.63
11/29/2018,111.91
11/30/2018,109.67
12/3/2018,103.46
12/4/2018,101.69
12/6/2018,106.2
12/7/2018,102.67
12/10/2018,105.24
12/11/2018,105.42
12/12/2018,104.19
12/13/2018,105.9
12/14/2018,103.46
12/17/2018,102.19
12/18/2018,103.43
12/19/2018,103.05
12/20/2018,102.1
12/21/2018,101.37
12/24/2018,98.76
12/26/2018,104.63
12/27/2018,106.15
12/28/2018,104.57
12/31/2018,102.94
1/2/2019,104.01
1/3/2019,99.15
1/4/2019,101.7
1/7/2019,104.41
1/8/2019,107.92
1/9/2019,107.46
1/10/2019,110
1/11/2019,109.03
1/14/2019,104.98
1/15/2019,106.49
1/16/2019,105.93
1/17/2019,105.37
1/18/2019,108.26
1/22/2019,107.33
1/23/2019,99.81
1/24/2019,101.49
1/25/2019,103.7
1/28/2019,102.39
1/29/2019,100.81
1/30/2019,102.6
1/31/2019,105.55
2/1/2019,104.95
2/4/2019,106.3
2/5/2019,107.29
2/6/2019,92.53
2/7/2019,96.39
2/8/2019,97.14
2/11/2019,93.44
2/12/2019,89.25
2/13/2019,92.14
2/14/2019,93.28
2/15/2019,93.3
2/19/2019,93.27
2/20/2019,88.67
2/21/2019,87.59
2/22/2019,87.07
2/25/2019,87.29
2/26/2019,87.34
2/27/2019,84.63
2/28/2019,87.26
3/1/2019,88.32
3/4/2019,87.44
3/5/2019,87.37
3/6/2019,87.2
3/7/2019,88.41
3/8/2019,87.04
3/11/2019,89.8
3/12/2019,89.85
3/13/2019,96.03
3/14/2019,92.43
3/15/2019,93.55
3/18/2019,93.83
3/19/2019,95.79
3/20/2019,96.06
3/21/2019,99.11
3/22/2019,96.02
3/25/2019,96.03
3/26/2019,96.37
3/27/2019,94.49
3/28/2019,96.49
3/29/2019,94.37
4/1/2019,95.69
4/2/2019,97.66
4/3/2019,97.91
4/4/2019,93.7
4/5/2019,94.53
4/8/2019,94.29
4/9/2019,93.28
4/10/2019,95.33
4/11/2019,95.27
4/12/2019,94.11
4/15/2019,92.65
4/16/2019,90.94
4/17/2019,89.74
4/18/2019,90.74
4/22/2019,91.92
4/23/2019,93.29
4/24/2019,93.6
4/25/2019,92.9
4/26/2019,96.25
4/29/2019,97.15
4/30/2019,96.83
5/1/2019,99.05
5/2/2019,99.68
5/3/2019,101.62
5/6/2019,101.65
5/7/2019,99.88
5/8/2019,101.81
5/9/2019,102.12
5/10/2019,103.38
5/13/2019,100.01
5/14/2019,103.55
5/15/2019,107.48
5/16/2019,107.55
5/17/2019,106.66
5/20/2019,102.98
5/21/2019,103.75
5/22/2019,104.23
5/23/2019,104.38
5/24/2019,105.02
5/28/2019,106.54
5/29/2019,107
5/30/2019,106.99
5/31/2019,108.15
6/3/2019,105.95
6/4/2019,108.99
6/5/2019,111.55
6/6/2019,110.67
6/7/2019,111.65
6/10/2019,111.78
6/11/2019,110.29
6/12/2019,108.71
6/13/2019,110.72
6/14/2019,110.36
6/17/2019,110.29
6/18/2019,111.02
6/19/2019,111.02
6/20/2019,111.54
6/21/2019,112.64
6/24/2019,113.83
6/25/2019,112.81
6/26/2019,111.55
6/27/2019,113.39
6/28/2019,113.53
7/1/2019,115.96
7/2/2019,116.91
7/3/2019,118.07
7/5/2019,117.23
7/8/2019,114.75
7/9/2019,115.09
7/10/2019,117.16
7/11/2019,116.53
7/12/2019,116.46
7/15/2019,117.03
7/16/2019,117.45
7/17/2019,117.6
7/18/2019,117.7
7/19/2019,116.06
7/22/2019,116.66
7/23/2019,118.11
7/24/2019,118.9
7/25/2019,119.25
7/26/2019,121.78
7/29/2019,123.59
7/30/2019,123.2
7/31/2019,122.52
8/1/2019,122.1
8/2/2019,121.69
8/5/2019,115.38
8/6/2019,124.56
8/7/2019,129.4
8/8/2019,131.39
8/9/2019,128.87
8/12/2019,127.62
8/13/2019,127.53
8/14/2019,126.22
8/15/2019,126.16
8/16/2019,127.2
8/19/2019,129.86
8/20/2019,131.43
8/21/2019,134.21
8/22/2019,132.39
8/23/2019,128.81
8/26/2019,130.49
8/27/2019,130.84
8/28/2019,131.22
8/29/2019,132.4
8/30/2019,131.97
9/3/2019,131.66
9/4/2019,132.74
9/5/2019,131.35
9/6/2019,130.76
9/9/2019,132.17
9/10/2019,128.4
9/11/2019,122.62
9/12/2019,126.24
9/13/2019,125.1
9/16/2019,128.63
9/17/2019,130.91
9/18/2019,129.76
9/19/2019,130.59
9/20/2019,130.56
9/23/2019,125.73
9/24/2019,125.08
9/25/2019,127.24
9/26/2019,126.77
9/27/2019,123.97
9/30/2019,125.34
10/1/2019,122.91
10/2/2019,119.66
10/3/2019,120.5
10/4/2019,123.33
10/7/2019,122.99
10/8/2019,119.45
10/9/2019,121.87
10/10/2019,122.4
10/11/2019,122.42
10/14/2019,121.16
10/15/2019,123.94
10/16/2019,121.15
10/17/2019,122.74
10/18/2019,122.73
10/21/2019,123.1
10/22/2019,121.99
10/23/2019,122.68
10/24/2019,124.34
10/25/2019,125.33
10/28/2019,122.78
10/29/2019,121.09
10/30/2019,123.13
10/31/2019,120.35
11/1/2019,116.9
11/4/2019,117.2
11/5/2019,117.25
11/6/2019,116.68
11/7/2019,116.91
11/8/2019,116.96
11/11/2019,119.65
11/12/2019,118.99
11/13/2019,120.27
11/14/2019,122.3
11/15/2019,123.82
11/18/2019,123.15
11/19/2019,123.65
11/20/2019,123.4
11/21/2019,122.54
11/22/2019,119.48
11/25/2019,119.36
11/26/2019,120.44
11/27/2019,121.58
11/29/2019,121.35
12/2/2019,120.73
12/3/2019,123.11
12/4/2019,121.96
12/5/2019,123.97
12/6/2019,123.73
12/9/2019,120.06
12/10/2019,122.29
12/11/2019,122.4
12/12/2019,125.27
12/13/2019,121.82
12/16/2019,122.71
12/17/2019,122.57
12/18/2019,122.46
12/19/2019,121.82
12/20/2019,123.61
12/23/2019,122.12
12/24/2019,123.93
12/26/2019,123.99
12/27/2019,124.47
12/30/2019,122.35
